Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
FERRARI,SF90 STRADALE,V8,3990 cc,963 л.с.,340 km/h,2.5 сек,83 600 000 руб.,plug in hyrbrid,2,800 Nm
ROLLS ROYCE,PHANTOM,V12,6749 cc,563 л.с.,250 km/h,5.3 сек,34 960 000 руб.,Petrol,5,900 Nm
Ford,KA+,1.2L Petrol,"1,200 cc",70-85 л.с.,165 km/h,10.5 сек,912 000-1 140 000 руб.,Petrol,5,100 - 140 Nm
MERCEDES, GT 63 S,V8,"3,982 cc",630 л.с.,250 km/h,3.2 сек,12 236 000 руб.,Petrol,4,900 Nm
AUDI,AUDI R8 Gt,V10,"5,204 cc",602 л.с.,320 km/h,3.6 сек,19 250 040 руб.,Petrol,2,560 Nm
BMW,Mclaren 720s,V8,"3,994 cc",710 л.с.,341 km/h,2.9 сек,37 924 000 руб.,Petrol,2,770 Nm
ASTON MARTIN,VANTAGE F1,V8,"3,982 cc",656 л.с.,314 km/h,3.6 сек,14 701 440 руб.,Petrol,2,685 Nm
BENTLEY,Continental GT Azure,V8,"3,996 cc",550 л.с.,318 km/h,4.0 сек,23 636 000 руб.,Petrol,4,900 Nm
LAMBORGHINI,VENENO ROADSTER,V12,"6,498 cc",750 л.с.,356 km/h,2.9 сек,342 000 000 руб.,Petrol,2,690 Nm
FERRARI,F8 TRIBUTO,V8,"3,900 cc",710 л.с.,340 km/h,2.9 сек,21 280 000 руб.,Petrol,2,770 Nm
FERRARI,812 GTS,V12,6496 cc,789 л.с.,340 km/h,2.9 сек,26 600 000 руб.,Petrol,2,718 Nm
FERRARI,PORTOFINO,V8,"3,900 cc",592 л.с.,320 km/h,3.2 сек,15 960 000 руб.,Petrol,2+2,760 Nm
FERRARI,ROMA,V8,"3,900 cc",612 л.с.,320 km/h,3.4 сек,17 480 000 руб.,Petrol,2+2,760 Nm
